,lat,lon,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,CEC topsoil,CEC clay topsoil,CaCO3 % topsoil,C/N topsoil,C/N subsoil,PSurf_Winter,PSurf_Spring,PSurf_Summer,PSurf_Fall,Qair_Winter,Qair_Spring,Qair_Summer,Qair_Fall,Tair_Winter,Tair_Spring,Tair_Summer,Tair_Fall,Wind_Winter,Wind_Spring,Wind_Summer,Wind_Fall,Rainf_Winter,Rainf_Spring,Rainf_Summer,Rainf_Fall
42,-5.25,28.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,91499.68630414378,91421.33657875458,91558.35428708792,91446.77366300364,0.01684684901001598,0.01586076115796697,0.010834188301236223,0.01607597268177652,296.2377065762363,296.5726217307692,296.27512684981684,297.02945771978017,0.919131788944597,1.4298061470146521,1.7748139916483512,1.222874692165751,6.0903730068303795e-05,4.896484499724579e-05,2.5315087165750914e-06,4.5426328879349815e-05
43,-5.25,28.75,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,90471.73462311129,90411.88321336995,90567.17070650183,90420.57369047619,0.01653420414723553,0.01594623245467028,0.011644123738507274,0.015628837268772847,295.7015349959936,295.73193733516484,295.3354590476191,296.43725316849816,0.9984403463089515,1.488460812010073,1.8221151013644685,1.2744757996016483,5.935133502522478e-05,5.160494582325202e-05,2.4786293360805863e-06,4.181414823076483e-05
44,-5.25,29.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,89555.41259987406,89551.3330728022,89697.99319230767,89518.22904899268,0.015225303780420056,0.015048132177197747,0.011429111131227052,0.01445012619871789,295.1977641540751,295.07648043498165,294.7321685302198,295.933525970696,1.4217223525165983,1.624485595892857,1.9481791391117222,1.89020392242674,6.050964567081507e-05,5.08676579095652e-05,1.77160414981685e-06,3.8955396038826004e-05
45,-5.25,29.75,52.21,23.23,24.58,7.39,0.678,0.405,0.113,10.87,56.7,8.54,10.3,10.8,91915.39507326008,91908.47201190476,92055.80483974359,91866.09781868133,0.016737171128949145,0.01654493973008236,0.0128084278163461,0.016125280662316815,297.0395822018086,296.96696274725275,296.57061300366297,298.02931554029306,1.3353873058464971,1.4122559867628204,1.9306256028479853,1.7988743370054945,5.686232124842628e-05,4.517355619450367e-05,7.20527744047619e-07,3.265809083319597e-05
46,-4.75,25.25,49.04,26.22,24.78,7.42,0.556,0.426,0.112,10.68,60.8,8.66,8.8,9.6,94133.6744197001,94065.44746062273,94219.33640934064,94106.81911538461,0.017584538411687216,0.01744531669436809,0.012571060074771025,0.017664324264880907,298.00300716174445,298.61213135989004,298.4204498076923,298.32985115384616,1.2034582528176512,1.4264371199038464,1.671862638415751,1.3836265563507328,6.492882866791777e-05,5.2771296097982776e-05,1.095546965521978e-05,6.329970762728205e-05
47,-4.75,25.75,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,94123.26807675137,94054.64927518314,94203.75019276555,94091.76090064103,0.01787489802627055,0.017842831832188592,0.01257092110077833,0.01781516035233511,297.9234157371794,298.6275926327839,298.5489456043956,298.36174054029306,1.1612242010227793,1.4115864650961538,1.6840832746749088,1.3898808689652016,6.585570557708417e-05,4.9640849201234796e-05,9.662583762820513e-06,6.090468473053444e-05
48,-4.75,26.25,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,94186.12821628893,94113.80247298534,94258.98736675823,94154.26447435898,0.017984086529933562,0.017891684877289347,0.012383181761446831,0.01798443485370873,297.8908528966346,298.52270306776563,298.558019478022,298.3888459203297,1.1547517475280447,1.3930925889789378,1.678239537925824,1.3942859229418496,6.40998942170293e-05,4.9765564494502935e-05,7.9646011753663e-06,5.974953402083078e-05
49,-4.75,26.75,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,94168.32159769916,94094.80610485349,94236.99286813187,94134.09664972528,0.01799730877312267,0.017970593835393716,0.01248838433255489,0.017998515699633653,297.75338708390564,298.3596952518315,298.4568824267399,298.2883122985348,1.1373039985399496,1.3658428600457877,1.6698091158768316,1.3722891322893775,6.46426266783979e-05,4.878749236812565e-05,6.837232852106226e-06,5.890291265819084e-05
50,-4.75,27.25,78.81,13.17,8.08,7.67,0.337,0.424,0.046,6.4,57.3,2.01,11.8,13.3,93193.06923334478,93120.64053617217,93258.47458836995,93159.15989880952,0.01763769098182801,0.017687197576007282,0.012506329054807662,0.017771385055402884,297.249996974588,297.79239021520146,297.8574735210623,297.8240524771062,1.029707295949519,1.170602766510989,1.540011648447802,1.2638443129395602,6.493851676075385e-05,4.829746757165531e-05,6.259406517399268e-06,5.704352598168314e-05
51,-4.75,27.75,78.81,13.17,8.08,7.67,0.337,0.424,0.046,6.4,57.3,2.01,11.8,13.3,91368.1962842262,91288.33823580589,91429.84756410256,91335.98275732601,0.016912649760073215,0.016523827993589684,0.012122500552701414,0.01708008365270142,296.30732048191396,296.66010967032963,296.69041991300367,296.9949569001831,0.9339694556141255,1.1471753101895605,1.4351564983241758,1.0591379271886447,6.417188133069836e-05,4.968246866254432e-05,5.01304706547619e-06,5.4265906386441396e-05
52,-4.75,28.75,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,87369.1373156479,87315.76791300366,87473.57395970696,87338.29795283881,0.015452199055946626,0.014928136194368084,0.011415011489010946,0.014903662734203247,294.340849080815,294.3572913507326,294.20568141941396,295.10376746337,0.9824846058047161,1.5095547966666665,1.6708940900915752,1.2220316226465202,6.815494141075995e-05,5.2629899731221974e-05,3.281004139056776e-06,5.172532984294543e-05
53,-4.75,29.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,91015.9669848901,91024.03834157508,91191.13101327838,90985.77668406595,0.01567251455737747,0.015508777120879065,0.012293607606639155,0.014890506389423035,296.2957140384615,296.3200436675824,296.36432266483513,297.16446863553114,1.5781536773397433,1.6503852034706956,2.087390138099817,2.0904475889010987,6.783229232574987e-05,4.557558967014651e-05,1.754137014423077e-06,4.280906386245019e-05
54,-4.75,29.75,52.21,23.23,24.58,7.39,0.678,0.405,0.113,10.87,56.7,8.54,10.3,10.8,89858.89979595924,89855.37019551283,90003.4424647436,89810.65276465203,0.016285390727678522,0.015996708361721547,0.01239220164826004,0.015125489438186767,296.06655453239466,295.9710707967033,295.83746540750917,296.9640262637363,1.2897260166351878,1.4689973512591574,1.9230456501648352,1.8122524040750914,6.314229124738462e-05,4.240208870334249e-05,9.432344738095237e-07,4.0347050476872165e-05
55,-4.75,30.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,87046.54819888964,87039.42129075092,87167.93489697801,86988.18193406594,0.017115155760445238,0.01638545640979849,0.0114870945792124,0.014673218770100692,296.04956984088824,295.8783550961538,295.64092694139197,297.0662803159341,1.2824716885170557,1.582039281437729,1.9145202829120882,1.742662134748169,7.2425624960498e-05,4.053878493543956e-05,3.0802914194139193e-07,3.981919224655605e-05
56,-4.25,24.75,49.04,26.22,24.78,7.42,0.556,0.426,0.112,10.68,60.8,8.66,8.8,9.6,94238.03800303342,94169.83275320513,94320.33441620879,94216.92192765567,0.01700264809354963,0.01688999120375453,0.012365557315796659,0.017020484705357095,298.00203576865846,298.4893680082418,297.9671706639194,298.1672249313187,1.2647173266311813,1.454318488081502,1.6747982816163,1.4444540456730766,6.378710614297161e-05,5.671118329487033e-05,1.5033183473443222e-05,6.938028446198865e-05
57,-4.25,25.25,49.04,26.22,24.78,7.42,0.556,0.426,0.112,10.68,60.8,8.66,8.8,9.6,94125.40625641026,94059.08011080587,94212.82773122711,94101.1055151099,0.017511776977907463,0.017658930158882747,0.013116220904945,0.017423438696657446,297.89949163633236,298.4411441529304,298.0550921749084,298.1312914880952,1.2040641111956272,1.385481931183608,1.663612856222527,1.379196935831502,6.522049537997352e-05,5.562958494504762e-05,1.3235858260531136e-05,6.742038170328389e-05
58,-4.25,25.75,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,94305.59874834021,94241.35249771061,94396.86114423077,94279.01782554945,0.01812919719099126,0.01862570617742669,0.014000071905814962,0.018045062415293005,298.05525203010535,298.626380897436,298.41447971611717,298.3968370283883,1.1619856185943225,1.3021810196611723,1.630962704587912,1.3652797019047616,6.726555011211932e-05,5.301807376373553e-05,1.1184274842948717e-05,6.319424619870731e-05
59,-4.25,26.25,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,94637.64094396749,94573.27367536632,94727.1796662088,94612.79606868132,0.018097941177655626,0.018747879616529264,0.014231784609477964,0.018270531276327787,297.95076229681774,298.59536910256406,298.41776316849814,298.3945362042125,1.1493894023323032,1.2606076304212457,1.6052922636584248,1.3860418342490843,6.734925924942618e-05,5.190534408195384e-05,9.468292699175823e-06,6.0662773667804764e-05
60,-4.25,26.75,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,93713.61453233745,93649.96313003662,93801.79486675824,93690.66649954213,0.01770457035408077,0.018356368581959652,0.014188942458333307,0.01803995653777468,297.4122265602107,298.00092721153845,297.98101152014647,297.9303416391941,1.150617213148466,1.2222811123122712,1.593245031497253,1.397703475025183,6.777348559832327e-05,5.1275218645826745e-05,8.540465052197804e-06,5.873555884500366e-05
61,-4.25,27.25,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,92038.91934380724,91970.51221840663,92115.64423031133,92014.20867765568,0.017358186681232783,0.017688600418956004,0.013712671287042068,0.017716298714514602,296.74279606856686,297.1566216254579,297.18919112179486,297.23052126831504,1.0499979603903389,1.0976635718543957,1.4970667879075092,1.2917878041712454,6.890134013884927e-05,5.014048152609633e-05,7.740056126831502e-06,5.839407248419817e-05
62,-4.25,27.75,78.81,13.17,8.08,7.67,0.337,0.424,0.046,6.4,57.3,2.01,11.8,13.3,91901.08183974357,91822.0449029304,91968.2421085165,91871.32387042126,0.01740836089909565,0.017237786051510957,0.013346255489514599,0.017768819672161127,296.80846804601646,297.1527088324176,297.1207005494506,297.40263016483516,0.9379745421314104,1.0290371730906593,1.3315671925503665,1.1051173700869963,6.75208016479348e-05,4.7778375428336994e-05,6.825513309981685e-06,5.674839530631354e-05
63,-4.25,29.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,91535.0007287088,91541.78084981685,91718.23032967032,91506.20530036629,0.014669985081387314,0.01427795682509154,0.011917233569825946,0.013761250509844291,296.1959891981456,296.15201553113553,296.19907572344323,296.99648048992674,1.5037848637168039,1.5375646645283882,1.8658056005265569,1.8854440100045786,7.17250935274652e-05,4.226313558951466e-05,2.9006424200091576e-06,5.05616783241663e-05
64,-4.25,29.75,52.21,23.23,24.58,7.39,0.678,0.405,0.113,10.87,56.7,8.54,10.3,10.8,86268.92565590658,86271.24549771062,86403.32401923077,86233.24242628204,0.01535917586406817,0.015158412442078701,0.012270679213919361,0.014385966242445007,294.4695293904533,294.2248939835165,294.01182187271064,295.1607415018315,1.1649508451133241,1.290815427985348,1.669209442069597,1.5072959326282052,7.197191427273149e-05,4.522809111478937e-05,2.301714702197802e-06,5.2862617941845056e-05
